C0,C1,C2,C3,C4
1.0715451389372128,0.8136459223820824,0.31280658660883565,0.4952073585306906,0.0
0.895979778970287,0.7953119366891034,0.32705847485844985,0.4933352181449406,0.02229926830289481
0.7867017485034953,0.7727587179399474,0.3482441416985591,0.4730624917784058,0.04980327676371385
0.651335912825799,0.8421997723762203,0.37064342132214595,0.47670929123463446,0.07509007125684047
0.6299186146684115,0.8433124303603147,0.3614185280401703,0.4477765046940863,0.08913232692019986
0.5717906954170179,0.8268681837100735,0.3887768114687904,0.4753846519750409,0.11806084920355366
0.5288969376555818,0.8318517901632952,0.3786271582403635,0.4365142235624245,0.14617854855156381
0.47547754677967213,0.7930952990332251,0.3679204344772036,0.45462111489438267,0.15413088907027328
0.44937973113218915,0.780473659775082,0.3916705583039978,0.4283390994061514,0.1949095105012678
0.4091584086846578,0.7877534387063547,0.3316803925562273,0.44834699246418297,0.1996272356875198
0.3673864454717328,0.8408641829177186,0.3566618149420831,0.394506550722347,0.2127533358194703
0.37420215350788255,0.7938778755699957,0.36676864967664136,0.42165963662488254,0.2548965952200286
0.34944792287254717,0.7404026421218806,0.3469581443248564,0.401706436839493,0.26350712736008663
0.337537069117446,0.7598024337852145,0.35443334355271117,0.40855786374277137,0.27145463948322546
0.29691892612086407,0.7161110973538763,0.34367343679369433,0.4203204202663514,0.3069853363953577
0.2739924757193917,0.7037490373058705,0.3391325271160197,0.3797241591583298,0.289336514335285
0.2565252694734793,0.7277784352792597,0.38067361282961876,0.37391991953197146,0.354801005682085
0.23206599635346062,0.6758358802962718,0.34675536250028866,0.37633191487343265,0.33589628682353795
0.2428716281498462,0.631762319782879,0.3321232844661143,0.39335108194927243,0.36741675103831367
0.21131238455556162,0.6399865123682063,0.3444145289412426,0.35777300258822586,0.3728389105301789
0.19937956705265367,0.6534346271917876,0.31834044858038735,0.3862193646064479,0.4009805256803056
0.1967159949743945,0.6416371519347608,0.3266215277213023,0.36293891673519196,0.4234713920577508
0.1993354799353216,0.6568477824499835,0.31374584818216655,0.36322572433288736,0.4094683675143003
0.18034392855625117,0.5957750193746809,0.32300745185378665,0.37317369734340194,0.45130319325630786
0.16284360847753934,0.618681068181861,0.28021273390223894,0.38273598271816833,0.44600294986278094
0.1569253022301816,0.599068793195724,0.29976332912742476,0.36591418731696057,0.45195612797292534
0.1576546129010616,0.5737235174602305,0.28599331891417246,0.3663669462607835,0.4735645084173316
0.14563626575797808,0.584399801890748,0.26545775682130224,0.3715763271924809,0.4709153384922546
0.13549725551455352,0.5649317155394693,0.2836935494102435,0.3666950581627363,0.48709269295406893
0.1321963671718314,0.5240444898592597,0.25660045836327,0.3297930988388219,0.534839960247004
0.131219135920036,0.554509708284797,0.2765203301191336,0.36164408445957785,0.5239767116772954
0.13137791950322275,0.49544293156224545,0.2587788320551667,0.3678983183550383,0.5633527855701225
0.11059615114613747,0.5114774663286137,0.2543999516619143,0.38140189723632184,0.559572434182252
0.10850973072193357,0.4999050583848689,0.24230571277042298,0.39388825000150895,0.5380968723611493
0.103053319919974,0.49797776789122034,0.2441459894155286,0.3725145463323048,0.5284987050737834
0.09204751124996877,0.46575256208240184,0.21264607379013378,0.36274471296909283,0.566439715147583
0.09397395371701696,0.4692290902715184,0.22472229428318558,0.3464770963262482,0.5989994615526079
0.08964780181544862,0.45771270125502506,0.2129087719488478,0.3604638350989434,0.6029920886518685
0.09361198643432078,0.468900839519397,0.21523718546886259,0.36915258641478477,0.5922440676280577
0.08543825165583593,0.42766484995056137,0.2069650287242223,0.3748767164780646,0.6473618128425881
0.0770356853181314,0.4339921887911626,0.2069566636583749,0.3431387510926937,0.5874055472098327
0.0810981764866835,0.4194992688761701,0.19010026316368206,0.35786677687188906,0.608374880183235
0.07480344415424023,0.393749820322622,0.205591593411,0.364899985096247,0.6528449196567894
0.06778814067790126,0.4504384154399506,0.20368472342058647,0.37845273698652987,0.7159981244030834
0.06832488469484334,0.39750087685084384,0.17991879601908367,0.354692546517098,0.6777720895639378
0.0656709908875516,0.36734328866679344,0.17644176212214416,0.3423930724256403,0.6478862200407076
0.06237746917302689,0.4042402620844477,0.17374478015846895,0.3392221235016721,0.6993254937398674
0.0622079819276842,0.3589040236871732,0.17554520485529412,0.3427427232228699,0.7099346696309413
0.054365841227379114,0.3728651256638082,0.17486240695032312,0.33754237923959496,0.7249881217220121
